Genomic_bins	3_paired	6_paired	4_paired	7_paired	2_paired	1_paired	5_paired
Ac.bin.443	0.080709	0.039992	0.20982	0.0	0.4480515	0.683914	0.219068
Ac.bin.115	0.199599	0.820945	0.681035	0.266243	0.228858	0.351697	0.659834
Re.bin.132	0.024033	0.023137	0.057693	0.620069	0.02129	0.081075	0.013975
Re.bin.149	0.834511	0.985449	0.995912	0.015872	0.13622	0.693196	1.161971
Ac.bin.442	0.0817425	0.28242	0.2073515	0.048204	0.109273	0.787714	0.354656
Ac.bin.180	0.0	0.10397	0.138044	0.051352	0.540689	0.1968	0.026774
Re.bin.283	0.152398	0.31816	0.250952	0.0	0.203693	0.378492	0.230196
Ac.bin.120	0.601878	0.659626	1.031876	0.218341	0.107651	0.437176	1.495207
Re.bin.167	0.059866	0.046194	0.108862	0.0	0.106245	0.222962	0.050014
Re.bin.316	0.054429	0.177814	0.1076175	0.0	0.122986	0.199268	0.261588
Ac.bin.271	0.153357	0.1969	0.352271	0.011903	0.360189	0.511534	0.342543
Ac.bin.38	0.29718	0.102046	0.511938	0.248794	0.056267	0.7132825	0.527588
Ac.bin.466	0.3818105	0.532618	0.6269295	0.031204000000000003	0.1425865	0.3068915	0.724872
Re.bin.33	0.069291	0.088215	0.264171	0.006118	0.143399	0.5014135	0.3200205
Re.bin.338	0.130411	0.056131	0.283611	0.011606	0.178114	0.305196	0.311737
Ac.bin.214	0.119499	0.298388	0.296076	0.0	0.173225	0.316682	0.35335
Re.bin.320	0.389926	0.021966	0.526237	0.003286	0.314894	1.085834	0.550789
Ac.bin.45	0.573876	0.93956	0.920194	0.039127	0.147509	0.328667	1.458928
Ac.bin.481	0.0346725	0.359874	0.5165314999999999	0.07905	1.277426	0.58782	0.37294000000000005
Ac.bin.196	0.314932	0.446969	0.471652	0.006655	0.339685	0.480994	0.448514
Re.bin.202	0.650088	0.47507	0.762579	0.002707	0.193477	0.332762	0.634486
Ac.bin.323	2.077919	0.363828	0.222847	0.034819	0.505033	1.396736	0.153826
Ac.bin.70	0.355137	0.283422	0.218896	0.003772	0.288848	0.662549	0.243471
Re.bin.55	0.131815	0.072684	0.039564	0.010873	2.0821104999999998	0.521192	0.07948
Re.bin.372	0.073253	0.096677	0.2271715	0.101121	0.075688	0.13419199999999998	0.098136
Ac.bin.188	0.29447	0.189789	0.293444	0.016271	0.633686	0.882153	0.382895
Re.bin.399	0.296293	0.5300815	1.063564	0.006464	0.789553	0.601193	1.26792
Re.bin.326	0.177368	0.1292895	0.200567	0.0310755	0.18624000000000002	0.5242635	0.205869
Ac.bin.207	0.914579	0.174108	0.602885	0.0	0.197163	0.591294	0.691754
Ac.bin.503	0.194829	0.206848	0.289686	0.010275	0.259258	0.468727	0.332424
Ac.bin.498	0.157846	0.210392	0.368004	0.016204	0.280554	0.549822	0.349393
Ac.bin.426	0.677238	1.080522	1.102534	0.017318	0.199343	0.640004	1.486427
Ac.bin.41	0.846957	1.142642	0.887335	0.014122	0.556855	1.193071	0.810167
Re.bin.314	0.518429	0.402965	1.004017	0.062275	1.253192	0.878429	0.705915
Ac.bin.391	4.739214	2.321679	2.510949	0.014241	0.344489	0.173225	2.237969
Ac.bin.201	0.2121045	0.215446	0.32572049999999997	0.005255	0.193937	0.411056	0.361407
Re.bin.39	0.979442	0.746946	1.31177	0.024507	0.5262884999999999	0.548713	1.305063
Ac.bin.119	0.134408	0.0746845	0.0974535	0.068879	0.536943	0.513191	0.047397
Ac.bin.140	0.099528	0.133456	0.136953	0.0	0.546774	0.684412	0.153997
Re.bin.214	0.431344	0.575063	0.692899	0.063905	0.134109	0.298182	0.936988
Ac.bin.408	0.149828	0.114035	0.518605	0.005753	0.209247	0.392065	0.497417
Re.bin.364	0.012237	0.0	0.0	0.0	1.185502	0.63775	0.0
Ac.bin.447	0.145325	0.173144	0.176269	0.023151	0.145841	0.322527	0.181132
Ac.bin.72	0.018366	0.058445	0.178288	0.018361	0.202688	0.310562	0.180149
Re.bin.281	0.05497	0.034748	0.198263	0.0	0.190197	0.454122	0.114928
Ac.bin.144	0.230649	0.54674	0.469861	0.065281	0.088612	0.453851	0.49203
Ac.bin.181	0.170189	0.23535	0.394405	0.00311	0.253579	0.524828	0.322801
Re.bin.15	0.027869	0.058521	0.104777	0.0	0.3063045	0.4014595	0.080894
Re.bin.99	0.288163	0.389056	0.764737	0.038034	0.1439	0.392803	0.720823
Ac.bin.198	0.349558	0.280364	0.445087	0.035872	0.182504	0.277111	0.431051
Ac.bin.504	0.06817000000000001	0.3810835	0.1631755	0.018471	0.1100885	0.2437395	0.1129925
Ac.bin.216	0.062105	0.275712	0.35065	0.0322245	0.15391749999999998	0.380667	0.339609
Re.bin.348	0.065109	0.124791	0.185463	0.0	0.09617300000000001	0.2586855	0.196123
Ac.bin.269	0.162698	0.199929	0.300125	0.025179	0.250346	0.5018265	0.32968200000000003
Re.bin.298	0.225622	0.1620225	0.51484	0.017089	0.22129500000000002	0.27353099999999997	0.3450085
Ac.bin.418	0.022701	0.07355	0.078024	0.122253	0.052	0.195126	0.053842
Ac.bin.182	0.17303049999999998	0.191381	0.362156	0.0137	0.41431799999999996	0.686975	0.358952
Ac.bin.339	0.312114	0.314987	0.690388	0.015126	0.329213	0.647876	0.525147
Ac.bin.268	0.312795	0.312061	0.594756	0.033877	1.150802	1.352863	0.737428
Re.bin.118	0.041662000000000005	0.0	0.039789	0.0	1.9428225000000001	0.134922	0.038606
Ac.bin.118	0.113764	0.136572	0.255389	0.010819	0.712195	1.029572	0.309628
Re.bin.270	0.019418	0.056811	0.117389	0.0	0.348199	0.20803	0.22764
Re.bin.32	15.883901	14.308289	17.796678	0.018161	0.566524	1.276084	12.923963
Re.bin.385	0.009319	0.538811	0.26572	0.0	0.008213	0.055493	0.302049
Ac.bin.147	0.035643	0.060906	0.168089	0.014441	0.243797	0.16712	0.15543
Ac.bin.19	0.14766849999999998	0.291326	0.357952	0.0	0.271133	0.406564	0.3309515
Re.bin.93	0.3203605	1.058695	0.7983495	0.01763	0.377576	0.867447	0.643149
Ac.bin.227	0.339378	0.734645	0.94357	0.015637	0.183724	0.661911	0.83845
Ac.bin.258	0.444367	0.417871	0.409109	0.009601	0.575682	0.831753	0.477342
Ac.bin.407	0.103342	0.037864	0.055604	0.007053	0.489321	0.642534	0.066381
Re.bin.315	0.679521	0.0	0.3133885	0.0	0.319791	0.37607749999999995	0.058823
Re.bin.280	0.09381	0.095792	0.179606	0.074772	0.07641	0.236287	0.210878
Re.bin.363	0.132045	0.318791	0.37719	0.271283	0.045852	0.031605	0.270402
Re.bin.289	0.009119	0.023004	0.002265	0.004741	0.929223	0.474533	0.056108
Ac.bin.480	0.064708	0.109387	0.270589	0.0	0.149981	0.238925	0.285688
Re.bin.211	0.10528850000000001	0.153744	0.309055	0.0348985	0.165974	0.3984895	0.28651
Ac.bin.116	0.071648	0.0	0.126573	0.0	0.175338	0.475516	0.064019
