Genomic_bins	8_paired	9_paired	11_paired	13_paired	12_paired	10_paired	14_paired
Ac.bin.443	0.0	0.024764	0.062137	0.0695295	0.078825	0.1099395	0.1716765
Ac.bin.115	0.0	0.0394595	0.196818	0.209536	0.2293975	0.182683	0.222119
Re.bin.149	0.0	0.006535	1.6591045	0.774426	1.413416	0.754538	0.573432
Ac.bin.442	0.114678	0.91977	0.021609	0.020578	0.012297	0.530104	0.028664
Ac.bin.180	0.0	0.069832	0.090887	0.060132	0.173721	0.148439	0.1700215
Re.bin.283	0.0	0.0	0.6219650000000001	0.655422	0.37104	0.80963	0.678848
Ac.bin.120	0.0	0.012964	0.050324	0.117009	0.062578	0.118944	0.11039
Re.bin.167	0.0	0.008699	2.390149	4.578754	4.739553	1.353677	5.540449
Re.bin.316	0.0	0.011397	1.156066	0.037815	0.023768	0.658832	0.281355
Re.bin.395	2.2369445	0.6948155	0.0	0.0	0.0	0.013943	0.0
Ac.bin.466	0.0	0.007924	0.007108	0.954271	0.894974	0.015408	1.766092
Re.bin.351	0.005117	0.07002	0.265257	0.838831	0.485347	0.317338	0.535467
Ac.bin.40	0.031271	0.085069	0.002431	0.0	0.001494	0.0	0.008799
Ac.bin.214	0.0	0.0	0.156618	0.144888	0.161317	0.349986	0.183842
Re.bin.320	0.0	0.0	0.835849	0.037479	0.030056	0.444283	0.140986
Ac.bin.45	0.019245	0.023877	0.038719	0.196721	0.164943	0.067579	0.331883
Ac.bin.481	0.0	0.0	0.084511	0.440832	0.277913	0.067323	0.180421
Ac.bin.285	0.0	0.02628	0.207153	0.098475	0.117809	0.225714	0.140253
Ac.bin.196	0.0	0.007097	0.126952	0.121814	0.139571	0.16931400000000002	0.2831205
Re.bin.202	0.02	0.009523	0.0023	1.676358	0.943606	0.007555	0.414615
Ac.bin.259	0.0	0.004093	0.125272	0.158398	0.152144	0.233368	0.128006
Ac.bin.70	0.0	0.0	0.185298	0.448821	0.304516	0.114725	0.412779
Re.bin.55	1.4722955	0.094907	0.0	0.0	0.0	0.034781	0.0
Re.bin.372	0.041145	1.436978	0.133341	0.024956	0.032499	3.122865	0.046255
Ac.bin.188	0.0	0.054441	0.056665	0.092139	0.131646	0.120684	0.097462
Re.bin.399	0.0	1.096848	0.0	0.0	0.0	0.0	0.0
Re.bin.326	4.35057	2.444213	0.008833	0.004477	0.005976	0.059938	0.007685
Ac.bin.207	0.016762	0.172911	0.391668	0.165504	0.122197	0.246987	0.169798
Ac.bin.503	0.0	0.044379	0.123179	0.047145	0.044841	0.22742	0.133544
Ac.bin.498	0.0	0.027735	0.127979	0.111927	0.0965265	0.18266	0.114012
Ac.bin.426	0.0	0.019949	0.144788	0.100379	0.125296	0.140348	0.270797
Ac.bin.41	0.0	0.022647	0.021906	0.342315	0.345206	0.030738	0.118352
Ac.bin.129	0.0	0.009585	0.1427475	0.3606275	0.2842035	0.12887949999999998	0.1575995
Re.bin.314	2.532173	0.271406	0.008995	0.007456	0.006837	0.088156	0.013216
Ac.bin.391	0.033289	0.03036	0.604516	0.027487	0.027383	1.046967	0.10345
Ac.bin.201	0.002203	0.004066	0.06290499999999999	0.255968	0.17938199999999999	0.102633	0.19475599999999998
Re.bin.39	0.010188	0.017043	0.934891	0.103898	0.090743	0.888818	0.086823
Ac.bin.119	0.0	0.087979	0.579133	0.013154	0.064752	0.447881	0.085217
Ac.bin.140	0.016777	0.148326	0.11532	0.043252	0.027112	0.178168	0.071518
Re.bin.214	0.002432	0.001129	0.781599	0.003341	0.003803	0.445097	0.416454
Ac.bin.408	0.0	0.007523	0.110596	0.221013	0.15057	0.104193	0.268792
Ac.bin.444	0.0	0.033534	0.129408	0.073664	0.099848	0.231016	0.196604
Re.bin.168	2.7247575	4.174431	0.010647	0.00381	0.002479	1.225347	0.00878
Ac.bin.72	0.0	0.0365495	0.2184465	0.1835885	0.1497605	0.161945	0.190935
Re.bin.281	3.139008	0.085644	0.157571	0.120705	0.132271	0.519792	0.067016
Ac.bin.496	0.0	0.048769	0.126824	0.114444	0.091707	0.158536	0.126387
Ac.bin.181	0.0	0.06026	0.08778	0.379184	0.275785	0.104879	0.301223
Ac.bin.257	0.0	0.077547	0.1239005	0.1591295	0.175581	0.147648	0.067629
Re.bin.99	1.648586	0.056979	0.0	0.0	0.0	0.0	0.0
Ac.bin.198	0.0	0.045804	0.045714	0.138153	0.118669	0.14596	0.151029
Ac.bin.504	0.0	0.020605	0.058318	0.101213	0.18052	0.1445745	0.163927
Ac.bin.216	0.0	0.006397	0.201835	0.098559	0.097568	0.293428	0.105886
Re.bin.348	0.020239	0.024645	0.618516	1.025286	1.006242	0.335567	1.476878
Ac.bin.269	0.0	0.014579	0.194313	0.2149	0.210284	0.154525	0.234553
Re.bin.298	0.0	0.0	0.965413	0.099823	0.054846	0.558079	0.154937
Ac.bin.418	0.0	0.048377	0.22061	0.173895	0.188507	0.280746	0.332441
Ac.bin.182	0.0	0.050346	0.1262805	0.0315305	0.094634	0.135309	0.100987
Ac.bin.339	21.640002	2.932367	0.002627	0.003031	0.001612	0.072818	0.007139
Ac.bin.268	0.045875	0.332588	0.038722	0.278964	0.048626	0.34551	0.0
Re.bin.118	0.308905	6.63988	0.009885	0.006023	0.004635	0.071343	0.013034
Ac.bin.118	0.012395	0.1198595	0.203364	0.044234499999999996	0.04165	0.16727	0.131465
Re.bin.270	0.0	0.00082	0.081751	0.994597	0.552432	0.074417	0.841801
Re.bin.141	0.12099	1.058495	0.220781	0.016132	0.012644	0.172866	0.052873
Re.bin.385	0.147668	0.84315	1.484098	0.132434	0.077117	1.006153	0.246202
Ac.bin.419	0.0	0.0	0.182092	0.210117	0.235423	0.195723	0.322794
Re.bin.93	2.268068	1.546931	0.0741945	0.034741	0.046529	0.113005	0.124297
Ac.bin.227	0.0	0.0298665	0.188127	0.098433	0.180789	0.177377	0.1689675
Ac.bin.153	0.161352	0.300959	0.252469	0.051075	0.06795	0.498605	0.120454
Re.bin.130	2.317366	0.049438	0.0	0.0	0.0	0.0	0.002582
Re.bin.315	0.0	0.001378	2.034457	0.130186	0.078305	1.088707	0.568345
Re.bin.280	0.459447	0.496245	2.241956	0.26183	0.446631	1.04231	0.432234
Re.bin.363	0.0	0.00383	0.014993	0.282636	0.178941	0.011857	1.49515
Re.bin.289	0.059824	0.363123	3.9420285	1.300071	1.949281	1.955497	1.3202539999999998
Re.bin.211	1.605517	0.030306	0.0	0.0	0.0	0.0	0.0
Ac.bin.380	0.0	0.0	0.17625	0.084608	0.129163	0.15136	0.091621
Ac.bin.145	0.200159	0.113162	0.122482	0.168201	0.164528	0.119951	0.121529
Ac.bin.112	0.012223	0.0276405	0.2258555	0.1622955	0.17248	0.262223	0.14328649999999998
Re.bin.69	0.460057	0.071821	2.470416	0.02807	0.060654	1.276209	0.056741
Re.bin.85	0.001461	0.002263	0.003645	0.019514	0.011775	0.002926	4.179125
Re.bin.165	0.705776	0.403773	0.064642	0.0	0.0	0.285588	0.0
Re.bin.122	0.081185	0.859288	0.02338	0.0	0.0	1.10899	0.002256
Ac.bin.362	0.0	0.00075	0.013933	0.315579	0.228907	0.068099	0.023724
Re.bin.31	1.344885	0.056409	0.117597	0.04021	0.021394	0.085911	0.031469
Ac.bin.319	0.0	0.009016	0.359448	0.031846	0.115597	0.241454	0.148992
Ac.bin.89	0.0	0.073975	0.022595	0.1337595	0.095216	0.091977	0.2416815
Ac.bin.4	0.0	0.0	0.089394	0.311646	0.34858	0.081718	0.244273
Ac.bin.335	0.0	0.0	0.0	0.074932	0.049542	0.438014	0.096864
Ac.bin.425	0.200785	0.0	0.215665	0.221303	0.327923	0.156906	0.305313
Ac.bin.116	0.0	0.0	0.053523	0.0	0.069052	0.108147	0.157109
Ac.bin.77	0.0	0.0	0.272536	0.1614195	0.1720755	0.2799025	0.163342
Re.bin.188	3.819836	0.118327	0.016537	0.010459	0.013883	0.014034	0.020737
Re.bin.383	3.535761	0.607722	0.003785	0.004379	0.002609	0.007558	0.007017
Re.bin.213	0.002872	0.0021285	0.166202	3.469459	1.961869	0.138433	3.349855
Re.bin.370	0.0	0.0	0.169174	0.291623	0.160339	0.1200595	0.86065
Ac.bin.281	0.69795	0.714353	0.027528	0.0	0.017558	0.084032	0.040833
Ac.bin.146	0.0	0.0	0.423481	0.096376	0.11443	0.292753	0.333286
Re.bin.379	0.15766	1.439534	0.04827	0.012433	0.007089	0.0753	0.014524
Ac.bin.29	0.305607	0.140016	0.169484	0.095771	0.082173	0.167907	0.200127
Re.bin.152	0.0	0.004336	0.021753	0.952874	1.209957	0.017057	2.38157
Re.bin.287	0.006135	0.039215	6.357419	0.299199	0.206191	3.95334	0.020885
Re.bin.6	2.047801	0.02828	0.000939	0.0	0.0	0.0	0.002719
Re.bin.282	0.007669	0.006792	0.012183	0.218637	0.134673	0.00775	3.076801
Re.bin.386	0.0	0.002322	1.656169	0.557751	0.306372	0.90138	0.256639
Re.bin.179	3.762547	0.094484	0.000802	0.002887	0.001642	0.001891	0.005029
Ac.bin.448	0.0	0.006064	0.037174	0.409433	0.373729	0.053599	0.100178
Re.bin.52	0.005039	1.212673	3.653812	0.028992	0.033738	2.106971	0.090975
Ac.bin.191	0.0	0.009429	0.10557649999999999	0.406907	0.2994115	0.1013125	0.307223
Ac.bin.271	0.0	0.044366	0.032355	0.132802	0.152461	0.090893	0.096918
Ac.bin.323	0.0	0.017253	0.148057	1.125452	0.754839	0.073218	0.156859
Re.bin.311	0.563812	1.178035	0.030143	0.019335	0.023853	0.084349	0.02617
Ac.bin.137	0.088208	0.162453	0.005816	0.0	0.0	0.071648	0.157531
Re.bin.335	0.262677	0.973531	0.042409	0.0	0.0	0.047625	0.0
Ac.bin.34	0.0	0.107749	0.444968	0.089014	0.336994	0.584561	0.230842
Ac.bin.392	0.036501500000000006	0.093691	0.053024	0.043907	0.044713	0.154276	0.061963
Ac.bin.23	0.0	0.01241	0.070523	0.1472	0.160819	0.124189	0.269801
Re.bin.78	0.0	0.0	0.71564	0.011265	0.0	0.2817585	0.13488
Re.bin.146	0.0	0.100968	1.51411	1.872323	1.071385	0.993366	0.932578
Ac.bin.222	0.034374	0.102505	0.146335	0.028294	0.124164	0.359516	0.071737
Re.bin.1	0.0	0.0	0.232826	0.442436	0.243343	0.113151	0.574149
Re.bin.127	0.466904	1.083534	0.021514	0.0	0.0	0.087528	0.004538
Ac.bin.189	0.0	0.008383	0.026874	0.1615025	0.135307	0.033185	0.16796
Re.bin.317	0.016652	1.565329	0.13758	0.008151499999999999	0.003431	0.950008	0.026038
Ac.bin.241	0.0	0.0	0.069395	0.006313	0.006546	0.200489	0.149539
Re.bin.268	0.002731	0.040744	2.819409	0.353894	0.204291	1.787113	0.400627
Re.bin.132	0.022826	0.183077	0.371763	0.004354	0.002225	1.157307	0.003772
Ac.bin.374	0.0	0.016199	0.137333	0.354682	0.267098	0.128523	0.097706
Ac.bin.67	0.012911	0.085798	0.064148	0.064289	0.044002	0.185475	0.101294
Ac.bin.100	0.0	0.0787895	0.388565	0.0854235	0.058554999999999996	0.335178	0.1398355
Ac.bin.459	0.0	0.025947	0.060034	0.093204	0.094201	0.089259	0.162432
Ac.bin.321	0.003908	0.004112	0.009541	0.648613	0.754025	0.051637	0.061773
Ac.bin.445	0.0	0.044688	0.058286	0.298021	0.357786	0.099958	0.163602
Ac.bin.190	0.0	0.13176	0.144621	0.1048615	0.0909345	0.19252249999999999	0.1797535
Re.bin.170	0.187499	2.21675	0.255978	0.01029	0.00639	0.520887	0.036961
Ac.bin.17	0.025924	0.029341	0.148214	0.1129385	0.144687	0.186393	0.1686315
Re.bin.233	0.0	0.0	0.209298	0.542559	0.396213	0.100019	0.352329
Re.bin.266	0.092517	1.069626	2.095688	0.045643	0.08469	2.234657	0.763512
Re.bin.91	0.016011	0.113791	2.705221	0.163404	0.128978	1.631939	0.918826
Re.bin.178	0.00131	0.004763	2.865019	0.020206	0.012638	1.83788	0.073354
Ac.bin.81	0.0	0.016996	0.11483950000000001	0.1433625	0.1196725	0.16750199999999998	0.10474
Ac.bin.121	0.0	0.014905	0.327347	0.108001	0.108334	0.255402	0.243899
Re.bin.120	0.223709	1.161004	0.013823	0.015876	0.008963	0.098687	0.032649
Ac.bin.299	0.009626	0.058524	0.233144	0.031775	0.088647	0.108001	0.069665
Ac.bin.206	0.046963000000000005	0.16635450000000002	0.032622	0.0	0.0	0.1278725	0.077985
Ac.bin.401	0.0	0.04486	0.157031	0.185034	0.220557	0.321531	0.190824
Re.bin.250	0.0	0.005012	0.862846	0.035597	0.022461	0.799882	0.058322
Ac.bin.270	0.0	0.016023	0.1754365	0.0906	0.1457805	0.25494	0.153041
Re.bin.216	6.14022	0.347488	0.011266	0.009129	0.009242	0.028724	0.016776
Ac.bin.203	0.018114	0.064846	0.009654	0.052897	0.038625	0.084071	0.043082
Re.bin.148	0.387861	2.730344	0.009907	0.008677	0.008805	0.015994	0.017889
Ac.bin.170	0.0	0.003031	0.423662	0.103966	0.060027	0.609952	0.088846
Re.bin.196	0.0	0.01235	3.139073	1.914483	1.134045	1.992709	0.049679
Ac.bin.71	0.0	0.019754	0.217262	0.1055	0.123885	0.217746	0.183077
Ac.bin.447	0.0	0.031547	0.0877975	0.20821800000000001	0.2355335	0.161408	0.13604650000000001
Re.bin.381	0.0	0.014728999999999999	0.324325	2.377183	2.792517	0.214615	0.535195
Ac.bin.477	0.0	0.03963	0.08632899999999999	0.120339	0.133217	0.089726	0.16148
Ac.bin.73	0.0160405	0.048135	0.136749	0.135525	0.1577615	0.212795	0.1075
Re.bin.341	0.037739499999999995	0.092471	0.479984	0.022239000000000002	0.021975	0.324217	0.407767
Re.bin.32	0.307056	4.53095	0.003901	0.003898	0.004194	0.014838	0.005399
Ac.bin.361	0.0	0.015419	0.0931395	0.1573755	0.138853	0.145507	0.1699025
Ac.bin.480	0.0	0.002981	0.002599	0.932543	0.653781	0.0116	0.331748
Ac.bin.499	0.001172	0.004288	0.032341	0.258543	0.186693	0.061033	0.281813
Ac.bin.332	0.0	0.036248	0.087795	0.137717	0.146391	0.13743100000000003	0.189371
Re.bin.325	0.017333	0.769882	0.008006	0.001608	0.0	2.477317	0.001728
Re.bin.89	28.822201	2.499433	1.291979	0.143199	0.321786	1.122642	0.15613
Re.bin.206	0.262409	1.418155	0.763188	0.023826	0.033812	0.735433	0.011597
Re.bin.159	0.38688199999999995	1.074539	0.126749	0.054312	0.0314525	0.114358	0.024566499999999998
Re.bin.224	0.0	1.082487	0.0	0.0	0.0	0.014112	0.0
Re.bin.330	1.482397	1.084088	0.0	0.0	0.0	0.118257	0.0
Ac.bin.400	0.0	0.053493	0.087059	0.113036	0.08291	0.259834	0.163792
Re.bin.137	0.475759	1.10893	0.0	0.0	0.0	0.008533	0.0
Ac.bin.395	0.0	0.024053	0.1141355	0.129808	0.1284835	0.129816	0.185176
Ac.bin.171	0.03328	0.104545	0.664001	0.072258	0.056562	0.464916	0.035497
Re.bin.140	0.0	0.0	0.580048	0.17475000000000002	0.0988	0.493114	0.190022
Re.bin.323	2.102802	0.265363	0.5542835	0.013252	0.033249	0.296104	0.152192
